Date,rcp8.5
1/1/1980,2.865
2/1/1980,2.132
3/1/1980,2.075
4/1/1980,2.325
5/1/1980,2.685
6/1/1980,2.675
7/1/1980,1.547
8/1/1980,1.398
9/1/1980,1.955
10/1/1980,1.287
11/1/1980,2.275
12/1/1980,2.914
1/1/1981,3.107
2/1/1981,1.854
3/1/1981,2.304
4/1/1981,2.497
5/1/1981,2.135
6/1/1981,2.378
7/1/1981,1.59
8/1/1981,1.768
9/1/1981,1.64
10/1/1981,2.236
11/1/1981,2.358
12/1/1981,2.449
1/1/1982,2.14
2/1/1982,2.388
3/1/1982,2.92
4/1/1982,2.425
5/1/1982,1.871
6/1/1982,2.434
7/1/1982,1.774
8/1/1982,2.04
9/1/1982,1.91
10/1/1982,2.236
11/1/1982,1.999
12/1/1982,2.807
1/1/1983,2.548
2/1/1983,2.976
3/1/1983,2.717
4/1/1983,2.505
5/1/1983,1.92
6/1/1983,2.005
7/1/1983,1.989
8/1/1983,1.689
9/1/1983,1.64
10/1/1983,2.22
11/1/1983,2.389
12/1/1983,2.3
1/1/1984,2.328
2/1/1984,2.072
3/1/1984,1.949
4/1/1984,2.649
5/1/1984,2.532
6/1/1984,2.434
7/1/1984,2.345
8/1/1984,2.413
9/1/1984,2.702
10/1/1984,2.202
11/1/1984,2.829
12/1/1984,2.3
1/1/1985,2.381
2/1/1985,2.015
3/1/1985,2.023
4/1/1985,2.053
5/1/1985,3.044
6/1/1985,2.232
7/1/1985,2.036
8/1/1985,1.594
9/1/1985,2.205
10/1/1985,2.546
11/1/1985,1.891
12/1/1985,2.527
1/1/1986,2.542
2/1/1986,2.204
3/1/1986,2.196
4/1/1986,2.732
5/1/1986,2.512
6/1/1986,1.976
7/1/1986,1.327
8/1/1986,2.04
9/1/1986,2.363
10/1/1986,1.97
11/1/1986,2.711
12/1/1986,2.108
1/1/1987,1.991
2/1/1987,2.759
3/1/1987,2.373
4/1/1987,1.93
5/1/1987,2.515
6/1/1987,1.764
7/1/1987,1.718
8/1/1987,1.6
9/1/1987,2.941
10/1/1987,1.913
11/1/1987,2.858
12/1/1987,3.207
1/1/1988,2.364
2/1/1988,2.132
3/1/1988,2.968
4/1/1988,3.906
5/1/1988,2.685
6/1/1988,1.951
7/1/1988,1.311
8/1/1988,1.863
9/1/1988,1.951
10/1/1988,1.97
11/1/1988,1.979
12/1/1988,2.566
1/1/1989,2.549
2/1/1989,2.879
3/1/1989,2.168
4/1/1989,2.325
5/1/1989,2.401
6/1/1989,3.05
7/1/1989,2.226
8/1/1989,2.102
9/1/1989,2.363
10/1/1989,2.287
11/1/1989,3.412
12/1/1989,2.574
1/1/1990,2.387
2/1/1990,1.854
3/1/1990,2.813
4/1/1990,2.903
5/1/1990,1.509
6/1/1990,2.648
7/1/1990,2.165
8/1/1990,1.234
9/1/1990,2.108
10/1/1990,2.907
11/1/1990,2.711
12/1/1990,1.863
1/1/1991,2.542
2/1/1991,2.342
3/1/1991,2.304
4/1/1991,2.732
5/1/1991,1.92
6/1/1991,2.599
7/1/1991,1.786
8/1/1991,1.813
9/1/1991,1.784
10/1/1991,2.202
11/1/1991,2.048
12/1/1991,2.449
1/1/1992,2.872
2/1/1992,2.093
3/1/1992,2.373
4/1/1992,2.425
5/1/1992,2.685
6/1/1992,2.215
7/1/1992,1.708
8/1/1992,2.316
9/1/1992,1.661
10/1/1992,1.766
11/1/1992,2.048
12/1/1992,2.566
1/1/1993,2.549
2/1/1993,2.759
3/1/1993,2.968
4/1/1993,3.147
5/1/1993,2.401
6/1/1993,2.34
7/1/1993,2.676
8/1/1993,2.413
9/1/1993,1.661
10/1/1993,2.546
11/1/1993,1.948
12/1/1993,2.566
1/1/1994,2.549
2/1/1994,2.184
3/1/1994,2.031
4/1/1994,3.906
5/1/1994,2.523
6/1/1994,3.05
7/1/1994,1.786
8/1/1994,1.529
9/1/1994,1.697
10/1/1994,2.249
11/1/1994,2.066
12/1/1994,3.207
1/1/1995,1.659
2/1/1995,2.599
3/1/1995,2.92
4/1/1995,2.285
5/1/1995,2.928
6/1/1995,2.344
7/1/1995,1.61
8/1/1995,2.102
9/1/1995,1.952
10/1/1995,2.546
11/1/1995,2.066
12/1/1995,2.574
1/1/1996,1.977
2/1/1996,2.575
3/1/1996,2.244
4/1/1996,2.425
5/1/1996,1.92
6/1/1996,2.352
7/1/1996,2.345
8/1/1996,2.316
9/1/1996,2.126
10/1/1996,2.249
11/1/1996,2.128
12/1/1996,2.447
1/1/1997,1.859
2/1/1997,2.759
3/1/1997,2.968
4/1/1997,2.285
5/1/1997,2.548
6/1/1997,1.951
7/1/1997,1.713
8/1/1997,2.15
9/1/1997,1.957
10/1/1997,1.846
11/1/1997,1.684
12/1/1997,2.015
1/1/1998,2.542
2/1/1998,1.701
3/1/1998,2.517
4/1/1998,2.053
5/1/1998,2.151
6/1/1998,3.033
7/1/1998,1.311
8/1/1998,2.753
9/1/1998,1.642
