Date,rcp8.5
1/1/1980,2.813
2/1/1980,2.112
3/1/1980,2.094
4/1/1980,2.289
5/1/1980,2.671
6/1/1980,2.709
7/1/1980,1.542
8/1/1980,1.385
9/1/1980,1.978
10/1/1980,1.293
11/1/1980,2.292
12/1/1980,2.914
1/1/1981,3.072
2/1/1981,1.892
3/1/1981,2.317
4/1/1981,2.518
5/1/1981,2.133
6/1/1981,2.37
7/1/1981,1.557
8/1/1981,1.766
9/1/1981,1.64
10/1/1981,2.266
11/1/1981,2.374
12/1/1981,2.427
1/1/1982,2.114
2/1/1982,2.356
3/1/1982,2.9
4/1/1982,2.411
5/1/1982,1.925
6/1/1982,2.463
7/1/1982,1.743
8/1/1982,2.048
9/1/1982,1.902
10/1/1982,2.266
11/1/1982,2.036
12/1/1982,2.744
1/1/1983,2.529
2/1/1983,2.946
3/1/1983,2.755
4/1/1983,2.531
5/1/1983,1.928
6/1/1983,2.048
7/1/1983,2.025
8/1/1983,1.712
9/1/1983,1.64
10/1/1983,2.233
11/1/1983,2.38
12/1/1983,2.279
1/1/1984,2.32
2/1/1984,2.119
3/1/1984,1.982
4/1/1984,2.638
5/1/1984,2.529
6/1/1984,2.463
7/1/1984,2.376
8/1/1984,2.476
9/1/1984,2.652
10/1/1984,2.201
11/1/1984,2.827
12/1/1984,2.279
1/1/1985,2.366
2/1/1985,2.026
3/1/1985,2.048
4/1/1985,2.063
5/1/1985,3.079
6/1/1985,2.218
7/1/1985,2.039
8/1/1985,1.528
9/1/1985,2.214
10/1/1985,2.515
11/1/1985,1.87
12/1/1985,2.54
1/1/1986,2.492
2/1/1986,2.215
3/1/1986,2.237
4/1/1986,2.746
5/1/1986,2.531
6/1/1986,1.957
7/1/1986,1.327
8/1/1986,2.048
9/1/1986,2.362
10/1/1986,1.978
11/1/1986,2.705
12/1/1986,2.117
1/1/1987,2.006
2/1/1987,2.788
3/1/1987,2.382
4/1/1987,1.981
5/1/1987,2.498
6/1/1987,1.81
7/1/1987,1.709
8/1/1987,1.623
9/1/1987,2.973
10/1/1987,1.922
11/1/1987,2.817
12/1/1987,3.175
1/1/1988,2.361
2/1/1988,2.112
3/1/1988,2.981
4/1/1988,3.899
5/1/1988,2.671
6/1/1988,1.929
7/1/1988,1.288
8/1/1988,1.834
9/1/1988,1.971
10/1/1988,1.978
11/1/1988,1.996
12/1/1988,2.566
1/1/1989,2.522
2/1/1989,2.864
3/1/1989,2.195
4/1/1989,2.289
5/1/1989,2.45
6/1/1989,2.985
7/1/1989,2.238
8/1/1989,2.189
9/1/1989,2.362
10/1/1989,2.287
11/1/1989,3.361
12/1/1989,2.575
1/1/1990,2.38
2/1/1990,1.892
3/1/1990,2.846
4/1/1990,2.902
5/1/1990,1.526
6/1/1990,2.696
7/1/1990,2.18
8/1/1990,1.267
9/1/1990,2.099
10/1/1990,2.847
11/1/1990,2.705
12/1/1990,1.894
1/1/1991,2.492
2/1/1991,2.336
3/1/1991,2.317
4/1/1991,2.746
5/1/1991,1.928
6/1/1991,2.632
7/1/1991,1.766
8/1/1991,1.837
9/1/1991,1.816
10/1/1991,2.201
11/1/1991,2.047
12/1/1991,2.427
1/1/1992,2.838
2/1/1992,2.139
3/1/1992,2.382
4/1/1992,2.411
5/1/1992,2.671
6/1/1992,2.22
7/1/1992,1.69
8/1/1992,2.317
9/1/1992,1.647
10/1/1992,1.782
11/1/1992,2.047
12/1/1992,2.566
1/1/1993,2.522
2/1/1993,2.788
3/1/1993,2.981
4/1/1993,3.114
5/1/1993,2.45
6/1/1993,2.351
7/1/1993,2.644
8/1/1993,2.476
9/1/1993,1.647
10/1/1993,2.515
11/1/1993,1.949
12/1/1993,2.566
1/1/1994,2.522
2/1/1994,2.21
3/1/1994,2.021
4/1/1994,3.899
5/1/1994,2.472
6/1/1994,2.985
7/1/1994,1.766
8/1/1994,1.562
9/1/1994,1.711
10/1/1994,2.24
11/1/1994,2.042
12/1/1994,3.175
1/1/1995,1.626
2/1/1995,2.618
3/1/1995,2.9
4/1/1995,2.325
5/1/1995,2.954
6/1/1995,2.383
7/1/1995,1.534
8/1/1995,2.131
9/1/1995,1.97
10/1/1995,2.515
11/1/1995,2.042
12/1/1995,2.575
1/1/1996,1.98
2/1/1996,2.593
3/1/1996,2.255
4/1/1996,2.411
5/1/1996,1.928
6/1/1996,2.333
7/1/1996,2.376
8/1/1996,2.317
9/1/1996,2.112
10/1/1996,2.24
11/1/1996,2.146
12/1/1996,2.453
1/1/1997,1.889
2/1/1997,2.788
3/1/1997,2.981
4/1/1997,2.325
5/1/1997,2.494
6/1/1997,1.929
7/1/1997,1.749
8/1/1997,2.191
9/1/1997,1.954
10/1/1997,1.875
11/1/1997,1.701
12/1/1997,2.042
1/1/1998,2.492
2/1/1998,1.707
3/1/1998,2.5
4/1/1998,2.063
5/1/1998,2.175
6/1/1998,3.038
7/1/1998,1.288
8/1/1998,2.76
9/1/1998,1.664
10/1/1998,1.978
11/1/1998,1.701
12/1/1998,1.481
1/1/1999,2.878
2/1/1999,2.509
3/1/1999,2.981
4/1/1999,2.504
5/1/1999,1.526
6/1/1999,2.22
7/1/1999,1.709
8/1/1999,1.363
9/1/1999,2.089
10/1/1999,2.588
11/1/1999,2.613
12/1/1999,2.914
1/1/2000,2.522
2/1/2000,2.159
3/1/2000,2.061
4/1/2000,2.189
5/1/2000,3.079
6/1/2000,2.414
7/1/2000,1.593
8/1/2000,1.239
9/1/2000,2.214
10/1/2000,1.513
11/1/2000,2.817
12/1/2000,2.006
1/1/2001,2.254
2/1/2001,2.34
3/1/2001,2.255
4/1/2001,2.504
5/1/2001,2.568
6/1/2001,2.552
7/1/2001,2.376
8/1/2001,1.682
9/1/2001,2.746
10/1/2001,2.266
11/1/2001,1.682
12/1/2001,2.707
1/1/2002,2.813
2/1/2002,1.962
3/1/2002,2.021
4/1/2002,1.866
5/1/2002,2.498
6/1/2002,2.218
7/1/2002,1.518
8/1/2002,1.623
9/1/2002,1.664
10/1/2002,2.568
11/1/2002,2.125
12/1/2002,2.323
1/1/2003,2.813
2/1/2003,2.388
3/1/2003,2.85
4/1/2003,2.544
5/1/2003,2.811
6/1/2003,2.777
7/1/2003,1.327
8/1/2003,1.385
9/1/2003,2.445
10/1/2003,1.82
11/1/2003,2.036
12/1/2003,2.707
1/1/2004,2.333
2/1/2004,2.772
3/1/2004,2.255
4/1/2004,2.063
5/1/2004,2.498
6/1/2004,1.875
7/1/2004,2.039
8/1/2004,1.267
9/1/2004,2.445
10/1/2004,2.345
11/1/2004,1.996
12/1/2004,3.487
1/1/2005,2.838
2/1/2005,1.962
3/1/2005,2.473
4/1/2005,2.544
5/1/2005,2.904
6/1/2005,2.776
7/1/2005,1.534
8/1/2005,1.439
9/1/2005,3.112
10/1/2005,2.847
11/1/2005,2.827
12/1/2005,2.45
1/1/2006,2.485
2/1/2006,2.001
3/1/2006,3.088
4/1/2006,2.92
5/1/2006,2.477
6/1/2006,2.776
7/1/2006,1.743
8/1/2006,2.048
9/1/2006,1.898
10/1/2006,1.944
11/1/2006,2.404
12/1/2006,2.54
1/1/2007,2.124
2/1/2007,2.141
3/1/2007,3.409
4/1/2007,2.289
5/1/2007,2.863
